Timestamp,Event,Value
1735576540.5327835,CAD operativo,29690
1735576540.5419092,CAD operativo,29699
1735576540.5510314,CAD operativo,29707
1735576540.5589685,CAD operativo,29715
1735576540.5665405,CAD operativo,29723
1735576540.5753014,CAD operativo,29732
1735576540.5834773,CAD operativo,29740
1735576540.5917435,CAD operativo,29748
1735576540.6010816,CAD operativo,29757
1735576540.60912,CAD operativo,29765
1735576540.6171272,CAD operativo,29773
1735576540.6245713,CAD operativo,29782
1735576540.6337454,CAD operativo,29790
1735576540.6420972,CAD operativo,29798
1735576540.6499965,CAD operativo,29806
1735576540.658996,CAD operativo,29815
1735576540.66716,CAD operativo,29823
1735576540.6742263,CAD operativo,29831
1735576540.6836054,CAD operativo,29840
1735576540.6920917,CAD operativo,29848
1735576540.6985354,CAD operativo,29856
1735576540.7130065,CAD operativo,29865
1735576540.7171218,CAD operativo,29873
1735576540.725059,CAD operativo,29881
1735576540.7328749,CAD operativo,29889
1735576540.7418742,CAD operativo,29898
1735576540.7501068,CAD operativo,29906
1735576540.7574668,CAD operativo,29914
1735576540.7664316,CAD operativo,29923
1735576540.774654,CAD operativo,29931
1735576540.7830849,CAD operativo,29939
1735576540.7918084,CAD operativo,29948
1735576540.799528,CAD operativo,29956
1735576540.8080995,CAD operativo,29964
1735576540.8156106,CAD operativo,29972
1735576540.8244839,CAD operativo,29981
1735576540.8324823,CAD operativo,29989
1735576540.8408666,CAD operativo,29997
1735576540.8494546,CAD operativo,30006
1735576540.8574789,CAD operativo,30014
1735576540.8660855,CAD operativo,30022
1735576540.8750837,CAD operativo,30031
1735576540.8830833,CAD operativo,30039
1735576540.8905437,CAD operativo,30047
1735576540.8985724,CAD operativo,30055
1735576540.9080386,CAD operativo,30064
1735576540.9155512,CAD operativo,30072
1735576540.9237435,CAD operativo,30080
1735576540.9325724,CAD operativo,30089
1735576540.9405718,CAD operativo,30097
1735576540.949071,CAD operativo,30105
1735576540.9571805,CAD operativo,30114
1735576540.9653423,CAD operativo,30122
1735576540.9737918,CAD operativo,30130
1735576540.9818473,CAD operativo,30139
1735576540.9908571,CAD operativo,30147
1735576540.9986892,CAD operativo,30155
1735576541.0070899,CAD operativo,30163
1735576541.0160806,CAD operativo,30172
1735576541.0232558,CAD operativo,30180
1735576541.031264,CAD operativo,30188
1735576541.04044,CAD operativo,30197
1735576541.0484567,CAD operativo,30205
1735576541.0570712,CAD operativo,30213
1735576541.0648866,CAD operativo,30222
1735576541.0732393,CAD operativo,30230
1735576541.081263,CAD operativo,30238
1735576541.0894125,CAD operativo,30246
1735576541.099102,CAD operativo,30255
1735576541.1071239,CAD operativo,30263
1735576541.1143963,CAD operativo,30271
1735576541.123979,CAD operativo,30280
1735576541.1313524,CAD operativo,30288
1735576541.1401129,CAD operativo,30296
1735576541.1474712,CAD operativo,30305
1735576541.157104,CAD operativo,30313
1735576541.1652899,CAD operativo,30321
1735576541.1722891,CAD operativo,30329
1735576541.182116,CAD operativo,30338
1735576541.190115,CAD operativo,30346
1735576541.1981156,CAD operativo,30354
1735576541.2071173,CAD operativo,30363
1735576541.21511,CAD operativo,30371
1735576541.223062,CAD operativo,30379
1735576541.2317405,CAD operativo,30388
1735576541.2399411,CAD operativo,30396
1735576541.2473593,CAD operativo,30404
1735576541.2560415,CAD operativo,30412
1735576541.265121,CAD operativo,30421
1735576541.2731197,CAD operativo,30429
1735576541.281082,CAD operativo,30437
1735576541.2892425,CAD operativo,30446
1735576541.2972538,CAD operativo,30454
1735576541.3055272,CAD operativo,30462
1735576541.3147578,CAD operativo,30471
1735576541.3229184,CAD operativo,30479
1735576541.3303325,CAD operativo,30487
1735576541.339299,CAD operativo,30495
1735576541.3479223,CAD operativo,30504
1735576541.3555326,CAD operativo,30512
1735576541.3637242,CAD operativo,30520
1735576541.3729994,CAD operativo,30529
1735576541.3810203,CAD operativo,30537
1735576541.388425,CAD operativo,30545
1735576541.3980086,CAD operativo,30554
1735576541.4052753,CAD operativo,30562
1735576541.4135232,CAD operativo,30570
1735576541.4215214,CAD operativo,30578
1735576541.4310837,CAD operativo,30587
1735576541.4384692,CAD operativo,30595
1735576541.4468067,CAD operativo,30603
1735576541.456092,CAD operativo,30612
1735576541.4638875,CAD operativo,30620
1735576541.4720418,CAD operativo,30628
1735576541.4810998,CAD operativo,30637
1735576541.4884684,CAD operativo,30645
1735576541.4970882,CAD operativo,30653
1735576541.505093,CAD operativo,30661
1735576541.5137138,CAD operativo,30670
1735576541.5217142,CAD operativo,30678
1735576541.5297139,CAD operativo,30686
1735576541.5390482,CAD operativo,30695
1735576541.5468671,CAD operativo,30703
1735576541.5548148,CAD operativo,30711
1735576541.5630414,CAD operativo,30720
1735576541.57125,CAD operativo,30728
1735576541.5793755,CAD operativo,30736
1735576541.58797,CAD operativo,30744
1735576541.59621,CAD operativo,30753
1735576541.604226,CAD operativo,30761
